outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2015,2016 - 2017,590,0.023333333333333334,0.929641975308642,0.04814814814814814
v2x_freexp_altinf,2015,2016 - 2017,600,0.09111111111111111,0.8277621399176954,0.08925925925925926
v2x_freexp_altinf,2015,2016 - 2017,615,0.06461111111111112,0.8201974794238683,0.12314814814814815
v2x_freexp_altinf,2015,2016 - 2017,616,0.05077777777777778,0.825295987654321,0.13055555555555556
v2x_freexp_altinf,2015,2016 - 2017,620,0.22515079365079363,0.6299852026119089,0.18695767195767193
v2x_freexp_altinf,2015,2016 - 2017,625,0.1344604777938111,0.8439010341510341,0.025
v2x_freexp_altinf,2015,2016 - 2017,626,0.15557098765432098,0.6828567830888819,0.1913390313390313
v2x_freexp_altinf,2015,2016 - 2017,630,0.1047716049382716,0.8600823914037494,0.039259259259259265
v2x_freexp_altinf,2015,2016 - 2017,640,0.18374338624338626,0.5559614491475603,0.3188888888888889
v2x_freexp_altinf,2015,2016 - 2017,645,0.1062037037037037,0.8140994598765433,0.08916666666666667
v2x_freexp_altinf,2015,2016 - 2017,651,0.26594444444444443,0.5421815895061729,0.2613888888888889
v2x_freexp_altinf,2015,2016 - 2017,652,0.08322643097643098,0.9004753722409278,0.017777777777777778
v2x_freexp_altinf,2015,2016 - 2017,660,0.09911111111111111,0.7615847736625514,0.15462962962962964
v2x_freexp_altinf,2015,2016 - 2017,663,0.31341358024691357,0.6610301474622771,0.03722222222222222
v2x_freexp_altinf,2015,2016 - 2017,666,0.028814814814814817,0.9323377777777777,0.04
v2x_freexp_altinf,2015,2016 - 2017,670,0.03091005291005291,0.9550919811875367,0.014444444444444444
v2x_freexp_altinf,2015,2016 - 2017,678,0.23492023408690074,0.4751995434949139,0.3788888888888889
v2x_freexp_altinf,2015,2016 - 2017,690,0.03244047619047619,0.8643534371345879,0.10666639533306202
v2x_freexp_altinf,2015,2016 - 2017,694,0.022222222222222223,0.973432098765432,0.0044444444444444444
v2x_freexp_altinf,2015,2016 - 2017,696,0.08379629629629629,0.8988976337448561,0.01888888888888889
v2x_freexp_altinf,2015,2016 - 2017,698,0.1029318783068783,0.8837782235939643,0.014814814814814815
v2x_freexp_altinf,2015,2016 - 2017,700,0.09240740740740741,0.8634775099614607,0.04860670194003527
v2x_freexp_altinf,2015,2016 - 2017,701,0.025222222222222222,0.9704454320987653,0.0044444444444444444
v2x_freexp_altinf,2015,2016 - 2017,702,0.06888888888888889,0.8316201646090535,0.10685185185185185
v2x_freexp_altinf,2015,2016 - 2017,703,0.2333994708994709,0.5962448559670782,0.2222222222222222
v2x_freexp_altinf,2015,2016 - 2017,704,0.07158906525573193,0.905716445228297,0.024444444444444446
v2x_freexp_altinf,2015,2016 - 2017,705,0.08862962962962961,0.8556755144032921,0.06111111111111111
v2x_freexp_altinf,2015,2016 - 2017,710,0.09957407407407408,0.8088826234567902,0.10166666666666667
v2x_freexp_altinf,2015,2016 - 2017,712,0.015555555555555555,0.860841975308642,0.12555555555555556
v2x_freexp_altinf,2015,2016 - 2017,713,0.0011111111111111111,0.9944493827160494,0.0044444444444444444
v2x_freexp_altinf,2015,2016 - 2017,731,0.00837037037037037,0.9887649218106995,0.002888888888888889
v2x_freexp_altinf,2015,2016 - 2017,732,0.05374074074074074,0.7842987260435038,0.17115873015873015
v2x_freexp_altinf,2015,2016 - 2017,740,0.005555555555555556,0.9579814814814815,0.03666666666666667
v2x_freexp_altinf,2015,2016 - 2017,750,0.16633333333333333,0.43119092592592595,0.48277777777777775
v2x_freexp_altinf,2015,2016 - 2017,760,0.03666666666666667,0.4175514814814816,0.5665555555555555
v2x_freexp_altinf,2015,2016 - 2017,770,0.1439074074074074,0.6052099022633745,0.29305555555555557
v2x_freexp_altinf,2015,2016 - 2017,771,0.16350529100529104,0.6897983220654517,0.17537037037037034
v2x_freexp_altinf,2015,2016 - 2017,775,0.3186111111111111,0.6194329732510288,0.09092592592592592
