outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2xcl_rol,2016,2017 - 2018,910,0.014259259259259258,0.9638145287086027,0.022243386243386242
v2xcl_rol,2016,2017 - 2018,920,0,1,0
v2xcl_rol,2016,2017 - 2018,940,0.13666666666666666,0.7722516666666666,0.1055
v2xcl_rol,2016,2017 - 2018,950,0.26335185185185184,0.6002181827846365,0.18520370370370373
v2xcl_rol,2017,2018 - 2019,2,0.06666666666666667,0.8029259259259259,0.13972222222222222
v2xcl_rol,2017,2018 - 2019,20,0.015555555555555555,0.9472543209876543,0.03777777777777778
v2xcl_rol,2017,2018 - 2019,40,0.2679259259259259,0.6157556378600824,0.15888888888888889
v2xcl_rol,2017,2018 - 2019,41,0.2644444444444444,0.4905386347131445,0.33310457516339864
v2xcl_rol,2017,2018 - 2019,42,0.2803703703703704,0.4674927297668038,0.3503703703703704
v2xcl_rol,2017,2018 - 2019,51,0.032962962962962965,0.9136709190672153,0.055185185185185184
v2xcl_rol,2017,2018 - 2019,52,0.027777777777777776,0.9365740740740741,0.03666666666666667
v2xcl_rol,2017,2018 - 2019,53,0.017777777777777778,0.9476625514403292,0.03518518518518519
v2xcl_rol,2017,2018 - 2019,70,0.24712962962962964,0.6216757373113854,0.17425925925925928
v2xcl_rol,2017,2018 - 2019,90,0.2836296296296296,0.5904085802469136,0.17583333333333334
v2xcl_rol,2017,2018 - 2019,91,0.35444444444444445,0.5086977777777778,0.21200000000000002
v2xcl_rol,2017,2018 - 2019,92,0.18666666666666668,0.6734851851851852,0.17194444444444446
v2xcl_rol,2017,2018 - 2019,93,0.30444444444444446,0.43863911335577993,0.3693686868686869
v2xcl_rol,2017,2018 - 2019,94,0.0044444444444444444,0.9756444444444444,0.02
v2xcl_rol,2017,2018 - 2019,95,0.07175925925925926,0.7685833333333334,0.172
v2xcl_rol,2017,2018 - 2019,100,0.18861111111111112,0.6639865740740741,0.18166666666666667
