gwcode,year,infmort
205,2000,6
205,2001,5.8
205,2002,5.4
205,2003,5
205,2004,4.7
205,2005,4.4
205,2006,4
205,2007,3.9
205,2008,3.7
205,2009,3.6
205,2010,3.5
205,2011,3.4
205,2012,3.4
205,2013,3.3
205,2014,3.2
205,2015,3.1
205,2016,3
205,2017,3
210,1970,12.4
210,1971,12
210,1972,11.5
210,1973,11.1
210,1974,10.7
210,1975,10.3
210,1976,9.9
210,1977,9.6
210,1978,9.3
210,1979,9
210,1980,8.8
210,1981,8.6
210,1982,8.4
210,1983,8.2
210,1984,8.1
210,1985,7.9
210,1986,7.7
210,1987,7.5
210,1988,7.3
210,1989,7.1
210,1990,6.8
210,1991,6.6
210,1992,6.3
210,1993,6.1
210,1994,5.9
210,1995,5.7
210,1996,5.5
210,1997,5.4
210,1998,5.3
210,1999,5.2
210,2000,5.1
210,2001,5
210,2002,4.9
210,2003,4.8
210,2004,4.6
210,2005,4.4
210,2006,4.3
210,2007,4.1
210,2008,4
210,2009,3.8
210,2010,3.7
210,2011,3.6
210,2012,3.6
210,2013,3.5
210,2014,3.5
210,2015,3.4
210,2016,3.4
210,2017,3.3
211,1970,20.5
211,1971,19.7
211,1972,18.7
211,1973,17.7
211,1974,16.7
211,1975,15.8
211,1976,14.9
211,1977,14.2
211,1978,13.5
211,1979,12.8
211,1980,12.2
211,1981,11.7
211,1982,11.2
211,1983,10.7
211,1984,10.2
211,1985,9.9
211,1986,9.5
211,1987,9.2
211,1988,8.9
211,1989,8.6
211,1990,8.3
211,1991,8
211,1992,7.7
211,1993,7.2
211,1994,6.8
211,1995,6.3
211,1996,5.9
211,1997,5.5
211,1998,5.3
211,1999,5
211,2000,4.9
211,2001,4.7
211,2002,4.5
211,2003,4.3
211,2004,4.3
211,2005,4.1
211,2006,4
211,2007,3.9
211,2008,3.8
211,2009,3.7
211,2010,3.7
211,2011,3.6
211,2012,3.5
211,2013,3.4
211,2014,3.3
211,2015,3.2
211,2016,3.1
211,2017,3.1
212,1970,18.9
212,1971,17.8
212,1972,16.8
212,1973,15.8
212,1974,14.9
212,1975,14.1
212,1976,13.4
212,1977,12.7
212,1978,12.2
212,1979,11.7
212,1980,11.3
212,1981,11
212,1982,10.6
212,1983,10.2
212,1984,9.8
212,1985,9.4
212,1986,9
212,1987,8.6
212,1988,8.1
212,1989,7.7
212,1990,7.3
212,1991,6.8
212,1992,6.4
212,1993,6
212,1994,5.6
212,1995,5.3
212,1996,5
212,1997,4.7
212,1998,4.4
212,1999,4.2
212,2000,3.9
212,2001,3.7
212,2002,3.5
212,2003,3.3
212,2004,3.1
212,2005,3
212,2006,2.8
212,2007,2.7
212,2008,2.6
212,2009,2.5
212,2010,2.4
212,2011,2.4
212,2012,2.3
212,2013,2.3
212,2014,2.2
212,2015,2.2
212,2016,2.1
212,2017,2.1
220,1970,15.1
220,1971,14.3
220,1972,13.7
220,1973,13.2
220,1974,12.7
220,1975,12.3
220,1976,11.9
220,1977,11.5
220,1978,11
220,1979,10.6
220,1980,10.2
220,1981,9.8
220,1982,9.5
220,1983,9.1
220,1984,8.8
220,1985,8.5
220,1986,8.3
220,1987,8.1
220,1988,7.9
220,1989,7.7
220,1990,7.4
220,1991,7.1
220,1992,6.7
220,1993,6.2
220,1994,5.8
220,1995,5.4
220,1996,5
220,1997,4.8
220,1998,4.6
220,1999,4.5
220,2000,4.4
220,2001,4.3
220,2002,4.2
220,2003,4
220,2004,3.9
220,2005,3.8
220,2006,3.7
220,2007,3.6
220,2008,3.6
220,2009,3.5
220,2010,3.5
220,2011,3.5
220,2012,3.4
220,2013,3.4
220,2014,3.4
220,2015,3.5
220,2016,3.5
220,2017,3.5
225,1970,15
225,1971,14.3
